section,item,2020,2021,2022,unit
流动资产,货币资金,631.13,365.36,648.33,万元
流动资产,应收票据,5173.14,4733.34,3477.61,万元
流动资产,应收账款,7437.14,9336.72,9059.00,万元
流动资产,应收款项融资,29.60,,65.85,万元
流动资产,预付款项,326.58,215.66,1082.14,万元
流动资产,其他应收款,48.25,9.22,6.40,万元
流动资产,存货,2798.82,5069.31,4504.14,万元
流动资产,其他流动资产,37.61,72.15,634.00,万元
流动资产,流动资产合计,16482.27,19801.76,19477.47,万元
非流动资产,固定资产,2462.00,2885.31,3462.50,万元
非流动资产,在建工程,39.20,368.42,71.82,万元
非流动资产,使用权资产,,1071.19,803.39,万元
非流动资产,无形资产,84.92,134.57,119.51,万元
非流动资产,长期待摊费用,720.38,935.88,1251.14,万元
非流动资产,递延所得税资产,130.40,173.49,136.74,万元
非流动资产,其他非流动资产,98.25,314.08,115.07,万元
非流动资产,非流动资产合计,3535.15,5882.93,5960.16,万元
资产,资产总计,20017.42,25684.69,25437.63,万元
流动负债,短期借款,2514.20,4481.62,4109.52,万元
流动负债,交易性金融负债,,,0.92,万元
流动负债,应付票据,,2.51,,万元
流动负债,应付账款,4380.91,6638.90,5230.42,万元
流动负债,合同负债,,13.76,,万元
流动负债,应付职工薪酬,379.29,461.82,365.74,万元
流动负债,应交税费,197.26,148.67,125.62,万元
流动负债,其他应付款,303.01,832.80,478.18,万元
流动负债,一年内到期的非流动负债,,254.45,265.86,万元
流动负债,其他流动负债,3680.52,4412.55,3634.01,万元
流动负债,流动负债合计,11455.19,17247.08,14210.27,万元
非流动负债,租赁负债,,868.78,599.46,万元
非流动负债,递延收益,,,45.31,万元
非流动负债,非流动负债合计,,868.78,644.77,万元
负债,负债合计,11455.19,18115.86,14855.04,万元
所有者权益,股本,1000.00,1000.00,3300.00,万元
所有者权益,资本公积,396.85,396.85,1596.85,万元
所有者权益,盈余公积,500.00,500.00,801.38,万元
所有者权益,未分配利润,6665.38,5671.98,4884.36,万元
所有者权益,归属于母公司所有者权益合计,8562.23,7568.83,10582.59,万元
所有者权益,所有者权益合计,8562.23,7568.83,10582.59,万元
权益总计,负债和所有者权益总计,20017.42,25684.69,25437.63,万元

