item,2020,2021,2022,unit
营业总收入,19673.24,26054.89,26373.49,万元
营业收入,19673.24,26054.89,26373.49,万元
营业总成本,17051.90,22540.06,23031.75,万元
营业成本,15027.94,19882.17,20611.39,万元
税金及附加,102.93,89.86,138.04,万元
销售费用,282.14,321.46,315.24,万元
管理费用,714.81,891.86,866.09,万元
研发费用,810.53,967.09,936.87,万元
财务费用,113.55,387.62,164.12,万元
利息费用,100.95,334.64,302.34,万元
利息收入,1.39,1.73,2.34,万元
其他收益,106.99,126.48,38.26,万元
公允价值变动收益,,,-0.92,万元
信用减值损失,-224.39,-116.20,78.76,万元
资产减值损失,36.47,-130.48,-137.73,万元
营业利润,2540.41,3394.63,3320.11,万元
营业外收入,,0.47,46.77,万元
营业外支出,21.97,17.81,18.34,万元
利润总额,2518.44,3377.29,3348.54,万元
所得税费用,292.23,370.69,334.79,万元
净利润,2226.21,3006.60,3013.75,万元

