year,item,gross,allowance,net,unit
2020,原材料,922.52,46.70,875.82,万元
2020,在产品,494.34,14.54,479.80,万元
2020,库存商品,1356.67,53.63,1303.04,万元
2020,半成品,11.81,,11.81,万元
2020,委托加工物资,82.07,,82.07,万元
2020,发出商品,10.65,,10.65,万元
2020,低值易耗品,35.63,,35.63,万元
2020,合计,2913.69,114.87,2798.82,万元
2021,原材料,1421.29,64.04,1357.25,万元
2021,在产品,1144.66,71.65,1073.02,万元
2021,库存商品,2456.66,97.91,2358.75,万元
2021,半成品,41.24,0.25,40.98,万元
2021,委托加工物资,170.33,,170.33,万元
2021,发出商品,26.57,,26.57,万元
2021,低值易耗品,42.41,,42.41,万元
2021,合计,5303.15,233.84,5069.31,万元
2022,原材料,1611.67,43.50,1568.17,万元
2022,在产品,883.85,69.09,814.76,万元
2022,库存商品,2082.14,120.00,1962.14,万元
2022,半成品,30.89,0.39,30.50,万元
2022,委托加工物资,98.71,,98.71,万元
2022,低值易耗品,29.86,,29.86,万元
2022,合计,4737.12,232.98,4504.14,万元

